   Elapsed time	     V2
       0:00.353	 -1.155
       0:00.356	 -1.240
       0:00.358	 -1.345
       0:00.361	 -1.455
       0:00.364	 -1.605
       0:00.367	 -1.755
       0:00.369	 -1.930
       0:00.372	 -2.100
       0:00.375	 -2.235
       0:00.378	 -2.360
       0:00.381	 -2.490
       0:00.383	 -2.595
       0:00.386	 -2.700
       0:00.389	 -2.790
       0:00.392	 -2.860
       0:00.394	 -2.930
       0:00.397	 -3.005
       0:00.400	 -3.045
       0:00.403	 -3.065
       0:00.406	 -3.095
       0:00.408	 -3.130
       0:00.411	 -3.155
       0:00.414	 -3.155
       0:00.417	 -3.145
       0:00.419	 -3.095
       0:00.422	 -3.030
       0:00.425	 -2.955
       0:00.428	 -2.825
       0:00.431	 -2.690
       0:00.433	 -2.525
       0:00.436	 -2.345
       0:00.439	 -2.150
       0:00.442	 -1.940
       0:00.444	 -1.710
       0:00.447	 -1.475
       0:00.450	 -1.240
       0:00.453	 -0.995
       0:00.456	 -0.800
       0:00.458	 -0.610
       0:00.461	 -0.445
       0:00.464	 -0.280
       0:00.467	 -0.085
       0:00.469	  0.065
       0:00.472	  0.220
       0:00.475	  0.350
       0:00.478	  0.460
       0:00.481	  0.555
       0:00.483	  0.635
       0:00.486	  0.690
       0:00.489	  0.740
       0:00.492	  0.775
       0:00.494	  0.825
       0:00.497	  0.850
       0:00.500	  0.905
       0:00.503	  0.945
       0:00.506	  0.970
       0:00.508	  1.005
       0:00.511	  1.045
       0:00.514	  1.070
       0:00.517	  1.125
       0:00.519	  1.170
       0:00.522	  1.195
       0:00.525	  1.235
       0:00.528	  1.250
       0:00.531	  1.305
       0:00.533	  1.355
       0:00.536	  1.400
       0:00.539	  1.435
       0:00.542	  1.465
       0:00.544	  1.505
       0:00.547	  1.550
       0:00.550	  1.605
       0:00.553	  1.650
       0:00.556	  1.680
       0:00.558	  1.710
       0:00.561	  1.730
       0:00.564	  1.780
       0:00.567	  1.830
       0:00.569	  1.865
       0:00.572	  1.890
       0:00.575	  1.900
       0:00.578	  1.920
       0:00.581	  1.930
       0:00.583	  1.950
       0:00.586	  1.975
       0:00.589	  1.955
       0:00.592	  1.960
       0:00.594	  1.955
       0:00.597	  1.940
       0:00.600	  1.945
       0:00.603	  1.925
       0:00.606	  1.895
       0:00.608	  1.855
       0:00.611	  1.820
       0:00.614	  1.780
       0:00.617	  1.760
       0:00.619	  1.715
       0:00.622	  1.655
       0:00.625	  1.605
       0:00.628	  1.535
       0:00.631	  1.470
       0:00.633	  1.430
       0:00.636	  1.360
       0:00.639	  1.300
       0:00.642	  1.235
       0:00.644	  1.155
       0:00.647	  1.085
       0:00.650	  1.030
       0:00.653	  0.980
       0:00.656	  0.910
       0:00.658	  0.835
       0:00.661	  0.760
       0:00.664	  0.715
       0:00.667	  0.655
       0:00.669	  0.615
       0:00.672	  0.555
       0:00.675	  0.495
       0:00.678	  0.445
       0:00.681	  0.400
       0:00.683	  0.365
       0:00.686	  0.325
       0:00.689	  0.275
       0:00.692	  0.235
       0:00.694	  0.185
       0:00.697	  0.160
       0:00.700	  0.150
       0:00.703	  0.135
       0:00.706	  0.100
       0:00.708	  0.075
       0:00.711	  0.045
       0:00.714	  0.020
       0:00.717	  0.030
       0:00.719	  0.020
       0:00.722	  0.000
       0:00.725	 -0.015
       0:00.728	 -0.020
       0:00.731	 -0.035
       0:00.733	 -0.035
       0:00.736	 -0.040
       0:00.739	 -0.050
       0:00.742	 -0.070
       0:00.744	 -0.070
       0:00.747	 -0.065
       0:00.750	 -0.070
       0:00.753	 -0.055
       0:00.756	 -0.070
       0:00.758	 -0.075
       0:00.761	 -0.080
       0:00.764	 -0.085
       0:00.767	 -0.070
       0:00.769	 -0.065
       0:00.772	 -0.070
       0:00.775	 -0.070
       0:00.778	 -0.080
       0:00.781	 -0.085
       0:00.783	 -0.075
       0:00.786	 -0.055
       0:00.789	 -0.060
       0:00.792	 -0.060
       0:00.794	 -0.065
       0:00.797	 -0.070
       0:00.800	 -0.060
       0:00.803	 -0.040
       0:00.806	 -0.035
       0:00.808	 -0.040
       0:00.811	 -0.040
       0:00.814	 -0.040
       0:00.817	 -0.040
       0:00.819	 -0.020
       0:00.822	 -0.020
       0:00.825	 -0.040
       0:00.828	 -0.030
       0:00.831	 -0.035
       0:00.833	 -0.015
       0:00.836	 -0.020
       0:00.839	 -0.020
       0:00.842	 -0.030
       0:00.844	 -0.025
       0:00.847	 -0.030
       0:00.850	 -0.035
       0:00.853	 -0.015
       0:00.856	 -0.020
       0:00.858	 -0.035
       0:00.861	 -0.045
       0:00.864	 -0.045
       0:00.867	 -0.035
       0:00.869	 -0.040
       0:00.872	 -0.045
       0:00.875	 -0.045
       0:00.878	 -0.060
       0:00.881	 -0.080
       0:00.883	 -0.065
       0:00.886	 -0.060
       0:00.889	 -0.065
       0:00.892	 -0.090
       0:00.894	 -0.095
       0:00.897	 -0.100
       0:00.900	 -0.095
       0:00.903	 -0.100
       0:00.906	 -0.105
       0:00.908	 -0.115
       0:00.911	 -0.135
       0:00.914	 -0.140
       0:00.917	 -0.135
       0:00.919	 -0.120
       0:00.922	 -0.135
       0:00.925	 -0.145
       0:00.928	 -0.155
       0:00.931	 -0.150
       0:00.933	 -0.150
       0:00.936	 -0.150
       0:00.939	 -0.155
       0:00.942	 -0.160
       0:00.944	 -0.170
       0:00.947	 -0.180
       0:00.950	 -0.170
       0:00.953	 -0.165
       0:00.956	 -0.180
       0:00.958	 -0.185
       0:00.961	 -0.190
       0:00.964	 -0.185
       0:00.967	 -0.185
       0:00.969	 -0.185
       0:00.972	 -0.195
       0:00.975	 -0.190
       0:00.978	 -0.205
       0:00.981	 -0.210
       0:00.983	 -0.205
       0:00.986	 -0.200
       0:00.989	 -0.210
       0:00.992	 -0.215
       0:00.994	 -0.220
       0:00.997	 -0.225
       0:01.000	 -0.215
       0:01.003	 -0.205
       0:01.006	 -0.220
       0:01.008	 -0.215
       0:01.011	 -0.235
       0:01.014	 -0.230
       0:01.017	 -0.220
       0:01.019	 -0.215
       0:01.022	 -0.215
       0:01.025	 -0.220
       0:01.028	 -0.225
       0:01.031	 -0.225
       0:01.033	 -0.220
       0:01.036	 -0.215
       0:01.039	 -0.220
       0:01.042	 -0.215
       0:01.044	 -0.245
       0:01.047	 -0.235
       0:01.050	 -0.230
       0:01.053	 -0.215
       0:01.056	 -0.230
       0:01.058	 -0.230
       0:01.061	 -0.245
       0:01.064	 -0.235
       0:01.067	 -0.230
       0:01.069	 -0.210
       0:01.072	 -0.215
       0:01.075	 -0.230
       0:01.078	 -0.230
       0:01.081	 -0.240
       0:01.083	 -0.220
       0:01.086	 -0.205
       0:01.089	 -0.205
       0:01.092	 -0.215
       0:01.094	 -0.210
       0:01.097	 -0.205
       0:01.100	 -0.170
       0:01.103	 -0.140
       0:01.106	 -0.135
       0:01.108	 -0.150
       0:01.111	 -0.130
       0:01.114	 -0.065
       0:01.117	  0.125
       0:01.119	  0.490
       0:01.122	  0.790
       0:01.125	  0.745
       0:01.128	  0.495
       0:01.131	  0.320
       0:01.133	  0.245
       0:01.136	  0.210
       0:01.139	  0.140
       0:01.142	  0.075
       0:01.144	 -0.010
       0:01.147	 -0.110
       0:01.150	 -0.210
       0:01.153	 -0.350
       0:01.156	 -0.515
       0:01.158	 -0.695
       0:01.161	 -0.885
       0:01.164	 -1.105
       0:01.167	 -1.270
       0:01.169	 -1.405
       0:01.172	 -1.530
       0:01.175	 -1.660
       0:01.178	 -1.815
       0:01.181	 -2.015
       0:01.183	 -2.225
       0:01.186	 -2.420
       0:01.189	 -2.570
       0:01.192	 -2.710
       0:01.194	 -2.830
       0:01.197	 -2.935
       0:01.200	 -3.025
       0:01.203	 -3.085
       0:01.206	 -3.125
       0:01.208	 -3.170
       0:01.211	 -3.205
       0:01.214	 -3.220
       0:01.217	 -3.240
       0:01.219	 -3.220
       0:01.222	 -3.230
       0:01.225	 -3.245
       0:01.228	 -3.240
       0:01.231	 -3.210
       0:01.233	 -3.170
       0:01.236	 -3.095
       0:01.239	 -2.990
       0:01.242	 -2.875
       0:01.244	 -2.755
       0:01.247	 -2.590
       0:01.250	 -2.390
       0:01.253	 -2.175
       0:01.256	 -1.940
       0:01.258	 -1.720
       0:01.261	 -1.480
       0:01.264	 -1.200
       0:01.267	 -0.960
       0:01.269	 -0.745
       0:01.272	 -0.540
       0:01.275	 -0.340
       0:01.278	 -0.140
       0:01.281	  0.030
       0:01.283	  0.190
       0:01.286	  0.355
       0:01.289	  0.460
       0:01.292	  0.550
       0:01.294	  0.635
       0:01.297	  0.675
       0:01.300	  0.745
       0:01.303	  0.795
       0:01.306	  0.840
       0:01.308	  0.885
       0:01.311	  0.920
       0:01.314	  0.960
       0:01.317	  1.010
       0:01.319	  1.050
       0:01.322	  1.085
       0:01.325	  1.110
       0:01.328	  1.140
       0:01.331	  1.185
       0:01.333	  1.230
       0:01.336	  1.275
       0:01.339	  1.300
       0:01.342	  1.320
       0:01.344	  1.350
       0:01.347	  1.400
       0:01.350	  1.435
       0:01.353	  1.490
       0:01.356	  1.515
       0:01.358	  1.550
       0:01.361	  1.570
       0:01.364	  1.625
       0:01.367	  1.665
       0:01.369	  1.700
       0:01.372	  1.735
       0:01.375	  1.760
       0:01.378	  1.785
       0:01.381	  1.830
       0:01.383	  1.860
       0:01.386	  1.900
       0:01.389	  1.920
       0:01.392	  1.925
       0:01.394	  1.935
       0:01.397	  1.960
       0:01.400	  1.965
       0:01.403	  1.985
       0:01.406	  1.980
       0:01.408	  1.960
       0:01.411	  1.935
       0:01.414	  1.925
       0:01.417	  1.915
       0:01.419	  1.895
       0:01.422	  1.860
       0:01.425	  1.810
       0:01.428	  1.760
       0:01.431	  1.725
       0:01.433	  1.675
       0:01.436	  1.630
       0:01.439	  1.555
       0:01.442	  1.490
       0:01.444	  1.420
       0:01.447	  1.350
       0:01.450	  1.300
       0:01.453	  1.235
       0:01.456	  1.160
       0:01.458	  1.065
       0:01.461	  1.000
       0:01.464	  0.930
       0:01.467	  0.875
       0:01.469	  0.830
       0:01.472	  0.760
       0:01.475	  0.690
       0:01.478	  0.635
       0:01.481	  0.575
       0:01.483	  0.540
       0:01.486	  0.495
       0:01.489	  0.445
       0:01.492	  0.400
       0:01.494	  0.340
       0:01.497	  0.295
       0:01.500	  0.280
       0:01.503	  0.245
       0:01.506	  0.205
       0:01.508	  0.170
       0:01.511	  0.140
       0:01.514	  0.115
       0:01.517	  0.110
       0:01.519	  0.095
       0:01.522	  0.065
       0:01.525	  0.045
       0:01.528	  0.030
       0:01.531	  0.025
       0:01.533	  0.015
       0:01.536	  0.020
       0:01.539	  0.005
       0:01.542	 -0.020
       0:01.544	 -0.035
       0:01.547	 -0.035
       0:01.550	 -0.040
       0:01.553	 -0.020
       0:01.556	 -0.040
       0:01.558	 -0.045
       0:01.561	 -0.050
       0:01.564	 -0.055
       0:01.567	 -0.045
       0:01.569	 -0.025
       0:01.572	 -0.035
       0:01.575	 -0.040
       0:01.578	 -0.050
       0:01.581	 -0.055
       0:01.583	 -0.035
       0:01.586	 -0.030
       0:01.589	 -0.025
       0:01.592	 -0.035
       0:01.594	 -0.035
       0:01.597	 -0.035
       0:01.600	 -0.030
       0:01.603	 -0.015
       0:01.606	 -0.020
       0:01.608	 -0.015
       0:01.611	 -0.030
       0:01.614	 -0.025
       0:01.617	 -0.005
       0:01.619	  0.005
       0:01.622	  0.000
       0:01.625	 -0.010
       0:01.628	 -0.015
       0:01.631	 -0.030
       0:01.633	 -0.025
       0:01.636	 -0.005
       0:01.639	  0.005
       0:01.642	 -0.020
       0:01.644	 -0.035
       0:01.647	 -0.035
       0:01.650	 -0.030
       0:01.653	 -0.025
       0:01.656	 -0.030
       0:01.658	 -0.040
       0:01.661	 -0.055
       0:01.664	 -0.060
       0:01.667	 -0.050
       0:01.669	 -0.045
       0:01.672	 -0.050
       0:01.675	 -0.070
       0:01.678	 -0.085
       0:01.681	 -0.085
       0:01.683	 -0.085
       0:01.686	 -0.075
       0:01.689	 -0.095
       0:01.692	 -0.110
       0:01.694	 -0.125
       0:01.697	 -0.115
       0:01.700	 -0.115
       0:01.703	 -0.115
       0:01.706	 -0.130
       0:01.708	 -0.145
       0:01.711	 -0.150
       0:01.714	 -0.145
       0:01.717	 -0.150
       0:01.719	 -0.135
       0:01.722	 -0.155
       0:01.725	 -0.165
       0:01.728	 -0.175
       0:01.731	 -0.180
       0:01.733	 -0.175
       0:01.736	 -0.165
       0:01.739	 -0.170
       0:01.742	 -0.190
       0:01.744	 -0.185
       0:01.747	 -0.195
       0:01.750	 -0.190
       0:01.753	 -0.185
       0:01.756	 -0.180
       0:01.758	 -0.200
       0:01.761	 -0.215
       0:01.764	 -0.215
       0:01.767	 -0.205
       0:01.769	 -0.210
       0:01.772	 -0.215
       0:01.775	 -0.215
       0:01.778	 -0.230
       0:01.781	 -0.215
       0:01.783	 -0.215
       0:01.786	 -0.210
       0:01.789	 -0.205
       0:01.792	 -0.220
       0:01.794	 -0.230
       0:01.797	 -0.235
       0:01.800	 -0.215
       0:01.803	 -0.215
       0:01.806	 -0.225
       0:01.808	 -0.230
       0:01.811	 -0.235
       0:01.814	 -0.235
       0:01.817	 -0.235
       0:01.819	 -0.230
       0:01.822	 -0.220
       0:01.825	 -0.240
       0:01.828	 -0.240
       0:01.831	 -0.245
       0:01.833	 -0.245
       0:01.836	 -0.230
       0:01.839	 -0.230
       0:01.842	 -0.240
       0:01.844	 -0.250
       0:01.847	 -0.245
       0:01.850	 -0.235
       0:01.853	 -0.225
       0:01.856	 -0.235
       0:01.858	 -0.245
       0:01.861	 -0.260
       0:01.864	 -0.260
       0:01.867	 -0.235
       0:01.869	 -0.240
       0:01.872	 -0.240
       0:01.875	 -0.255
       0:01.878	 -0.255
       0:01.881	 -0.245
       0:01.883	 -0.245
       0:01.886	 -0.230
       0:01.889	 -0.230
       0:01.892	 -0.235
       0:01.894	 -0.255
       0:01.897	 -0.235
       0:01.900	 -0.225
       0:01.903	 -0.205
       0:01.906	 -0.205
       0:01.908	 -0.185
       0:01.911	 -0.125
       0:01.914	  0.065
       0:01.917	  0.445
       0:01.919	  0.835
       0:01.922	  0.890
       0:01.925	  0.635
       0:01.928	  0.350
       0:01.931	  0.220
       0:01.933	  0.175
       0:01.936	  0.120
       0:01.939	  0.035
       0:01.942	 -0.050
       0:01.944	 -0.160
       0:01.947	 -0.300
       0:01.950	 -0.435
       0:01.953	 -0.610
       0:01.956	 -0.790
       0:01.958	 -1.015
       0:01.961	 -1.225
       0:01.964	 -1.380
       0:01.967	 -1.520
       0:01.969	 -1.625
       0:01.972	 -1.785
       0:01.975	 -1.980
       0:01.978	 -2.200
       0:01.981	 -2.400
       0:01.983	 -2.560
       0:01.986	 -2.670
       0:01.989	 -2.770
       0:01.992	 -2.885
       0:01.994	 -3.005
       0:01.997	 -3.090
       0:02.000	 -3.115
       0:02.003	 -3.150
       0:02.006	 -3.185
       0:02.008	 -3.215
       0:02.011	 -3.245
       0:02.014	 -3.250
       0:02.017	 -3.240
       0:02.019	 -3.245
       0:02.022	 -3.255
       0:02.025	 -3.250
       0:02.028	 -3.245
       0:02.031	 -3.220
       0:02.033	 -3.160
       0:02.036	 -3.080
       0:02.039	 -2.985
       0:02.042	 -2.870
       0:02.044	 -2.740
       0:02.047	 -2.545
       0:02.050	 -2.350
       0:02.053	 -2.090
       0:02.056	 -1.815
       0:02.058	 -1.540
       0:02.061	 -1.275
       0:02.064	 -1.000
       0:02.067	 -0.765
       0:02.069	 -0.530
       0:02.072	 -0.315
       0:02.075	 -0.125
       0:02.078	  0.055
       0:02.081	  0.250
       0:02.083	  0.400
       0:02.086	  0.525
       0:02.089	  0.610
       0:02.092	  0.655
       0:02.094	  0.700
       0:02.097	  0.750
       0:02.100	  0.800
       0:02.103	  0.840
       0:02.106	  0.880
       0:02.108	  0.905
       0:02.111	  0.920
       0:02.114	  0.960
       0:02.117	  0.995
       0:02.119	  1.030
       0:02.122	  1.045
       0:02.125	  1.080
       0:02.128	  1.090
       0:02.131	  1.135
       0:02.133	  1.170
       0:02.136	  1.195
       0:02.139	  1.215
       0:02.142	  1.265
       0:02.144	  1.270
       0:02.147	  1.325
       0:02.150	  1.355
       0:02.153	  1.400
       0:02.156	  1.430
       0:02.158	  1.460
       0:02.161	  1.485
       0:02.164	  1.525
       0:02.167	  1.570
       0:02.169	  1.620
       0:02.172	  1.640
       0:02.175	  1.670
       0:02.178	  1.700
       0:02.181	  1.740
       0:02.183	  1.775
       0:02.186	  1.825
       0:02.189	  1.855
       0:02.192	  1.875
       0:02.194	  1.880
       0:02.197	  1.910
       0:02.200	  1.940
       0:02.203	  1.955
       0:02.206	  1.970
       0:02.208	  1.955
       0:02.211	  1.960
       0:02.214	  1.955
       0:02.217	  1.970
       0:02.219	  1.945
       0:02.222	  1.935
       0:02.225	  1.905
       0:02.228	  1.860
       0:02.231	  1.830
       0:02.233	  1.800
       0:02.236	  1.775
       0:02.239	  1.720
       0:02.242	  1.650
       0:02.244	  1.590
       0:02.247	  1.525
       0:02.250	  1.470
       0:02.253	  1.420
       0:02.256	  1.340
       0:02.258	  1.250
       0:02.261	  1.185
       0:02.264	  1.120
       0:02.267	  1.050
       0:02.269	  0.990
       0:02.272	  0.915
       0:02.275	  0.840
       0:02.278	  0.770
       0:02.281	  0.705
       0:02.283	  0.660
       0:02.286	  0.610
       0:02.289	  0.550
       0:02.292	  0.490
       0:02.294	  0.440
       0:02.297	  0.385
       0:02.300	  0.355
       0:02.303	  0.325
       0:02.306	  0.280
       0:02.308	  0.245
       0:02.311	  0.200
       0:02.314	  0.185
       0:02.317	  0.155
       0:02.319	  0.145
       0:02.322	  0.130
       0:02.325	  0.110
       0:02.328	  0.080
       0:02.331	  0.065
       0:02.333	  0.065
       0:02.336	  0.055
       0:02.339	  0.050
       0:02.342	  0.025
       0:02.344	  0.010
       0:02.347	 -0.005
       0:02.350	  0.005
       0:02.353	  0.010
       0:02.356	  0.005
       0:02.358	  0.005
       0:02.361	 -0.005
       0:02.364	  0.000
       0:02.367	  0.000
       0:02.369	  0.005
       0:02.372	  0.000
       0:02.375	 -0.005
       0:02.378	 -0.020
       0:02.381	 -0.010
       0:02.383	 -0.005
       0:02.386	  0.000
       0:02.389	  0.005
       0:02.392	 -0.010
       0:02.394	 -0.010
       0:02.397	 -0.010
       0:02.400	  0.000
       0:02.403	  0.000
       0:02.406	 -0.005
       0:02.408	 -0.015
       0:02.411	 -0.010
       0:02.414	 -0.015
       0:02.417	 -0.015
       0:02.419	 -0.005
       0:02.422	 -0.010
       0:02.425	 -0.020
       0:02.428	 -0.025
       0:02.431	 -0.040
       0:02.433	 -0.025
       0:02.436	 -0.015
       0:02.439	 -0.020
       0:02.442	 -0.050
       0:02.444	 -0.065
       0:02.447	 -0.060
       0:02.450	 -0.060
       0:02.453	 -0.055
       0:02.456	 -0.055
       0:02.458	 -0.075
       0:02.461	 -0.100
       0:02.464	 -0.100
       0:02.467	 -0.085
       0:02.469	 -0.090
       0:02.472	 -0.105
       0:02.475	 -0.110
       0:02.478	 -0.120
       0:02.481	 -0.125
       0:02.483	 -0.115
       0:02.486	 -0.125
       0:02.489	 -0.120
       0:02.492	 -0.125
       0:02.494	 -0.140
       0:02.497	 -0.160
       0:02.500	 -0.145
       0:02.503	 -0.160
       0:02.506	 -0.155
       0:02.508	 -0.175
       0:02.511	 -0.180
       0:02.514	 -0.180
       0:02.517	 -0.175
       0:02.519	 -0.165
       0:02.522	 -0.180
       0:02.525	 -0.185
       0:02.528	 -0.205
       0:02.531	 -0.205
       0:02.533	 -0.190
       0:02.536	 -0.195
       0:02.539	 -0.200
       0:02.542	 -0.210
       0:02.544	 -0.220
       0:02.547	 -0.205
       0:02.550	 -0.205
       0:02.553	 -0.200
       0:02.556	 -0.215
       0:02.558	 -0.215
       0:02.561	 -0.230
       0:02.564	 -0.230
       0:02.567	 -0.220
       0:02.569	 -0.215
       0:02.572	 -0.215
       0:02.575	 -0.235
       0:02.578	 -0.250
       0:02.581	 -0.245
       0:02.583	 -0.235
       0:02.586	 -0.235
       0:02.589	 -0.230
       0:02.592	 -0.240
       0:02.594	 -0.255
       0:02.597	 -0.245
       0:02.600	 -0.245
       0:02.603	 -0.240
       0:02.606	 -0.250
       0:02.608	 -0.250
       0:02.611	 -0.265
       0:02.614	 -0.255
       0:02.617	 -0.240
       0:02.619	 -0.240
       0:02.622	 -0.255
       0:02.625	 -0.255
       0:02.628	 -0.275
       0:02.631	 -0.260
       0:02.633	 -0.250
       0:02.636	 -0.240
       0:02.639	 -0.240
       0:02.642	 -0.255
       0:02.644	 -0.275
       0:02.647	 -0.265
       0:02.650	 -0.255
       0:02.653	 -0.260
       0:02.656	 -0.250
       0:02.658	 -0.255
       0:02.661	 -0.270
       0:02.664	 -0.270
       0:02.667	 -0.250
       0:02.669	 -0.240
       0:02.672	 -0.255
       0:02.675	 -0.260
       0:02.678	 -0.265
       0:02.681	 -0.260
       0:02.683	 -0.250
       0:02.686	 -0.240
       0:02.689	 -0.250
       0:02.692	 -0.255
       0:02.694	 -0.270
       0:02.697	 -0.265
       0:02.700	 -0.250
       0:02.703	 -0.235
       0:02.706	 -0.235
       0:02.708	 -0.255
       0:02.711	 -0.255
       0:02.714	 -0.250
       0:02.717	 -0.235
       0:02.719	 -0.185
       0:02.722	 -0.130
       0:02.725	  0.075
       0:02.728	  0.440
       0:02.731	  0.720
       0:02.733	  0.665
       0:02.736	  0.410
       0:02.739	  0.235
       0:02.742	  0.160
       0:02.744	  0.095
       0:02.747	  0.045
       0:02.750	 -0.025
       0:02.753	 -0.105
       0:02.756	 -0.235
       0:02.758	 -0.375
       0:02.761	 -0.530
       0:02.764	 -0.705
       0:02.767	 -0.900
       0:02.769	 -1.095
       0:02.772	 -1.290
       0:02.775	 -1.600
       0:02.778	 -1.730
       0:02.781	 -1.865
       0:02.783	 -2.015
       0:02.786	 -2.205
       0:02.789	 -2.430
       0:02.792	 -2.590
       0:02.794	 -2.705
       0:02.797	 -2.790
       0:02.800	 -2.875
       0:02.803	 -2.980
       0:02.806	 -3.070
       0:02.808	 -3.145
       0:02.811	 -3.170
       0:02.814	 -3.195
       0:02.817	 -3.205
       0:02.819	 -3.240
       0:02.822	 -3.255
       0:02.825	 -3.280
       0:02.828	 -3.275
       0:02.831	 -3.250
       0:02.833	 -3.260
       0:02.836	 -3.245
       0:02.839	 -3.235
       0:02.842	 -3.235
       0:02.844	 -3.195
       0:02.847	 -3.120
       0:02.850	 -3.025
       0:02.853	 -2.900
       0:02.856	 -2.770
       0:02.858	 -2.610
       0:02.861	 -2.405
       0:02.864	 -2.175
       0:02.867	 -1.925
       0:02.869	 -1.685
       0:02.872	 -1.440
       0:02.875	 -1.185
       0:02.878	 -0.935
       0:02.881	 -0.710
       0:02.883	 -0.495
       0:02.886	 -0.300
       0:02.889	 -0.145
       0:02.892	  0.005
       0:02.894	  0.175
       0:02.897	  0.320
       0:02.900	  0.455
       0:02.903	  0.535
       0:02.906	  0.590
       0:02.908	  0.635
       0:02.911	  0.695
       0:02.914	  0.735
       0:02.917	  0.770
       0:02.919	  0.790
       0:02.922	  0.815
       0:02.925	  0.830
       0:02.928	  0.870
       0:02.931	  0.895
       0:02.933	  0.925
       0:02.936	  0.960
       0:02.939	  0.975
       0:02.942	  1.010
       0:02.944	  1.045
       0:02.947	  1.085
       0:02.950	  1.115
       0:02.953	  1.135
       0:02.956	  1.150
       0:02.958	  1.155
       0:02.961	  1.190
       0:02.964	  1.230
       0:02.967	  1.255
       0:02.969	  1.290
       0:02.972	  1.310
       0:02.975	  1.330
       0:02.978	  1.360
       0:02.981	  1.405
       0:02.983	  1.435
       0:02.986	  1.480
       0:02.989	  1.490
       0:02.992	  1.500
       0:02.994	  1.540
       0:02.997	  1.580
       0:03.000	  1.625
       0:03.003	  1.635
       0:03.006	  1.645
       0:03.008	  1.665
       0:03.011	  1.705
       0:03.014	  1.750
       0:03.017	  1.775
       0:03.019	  1.785
       0:03.022	  1.800
       0:03.025	  1.810
       0:03.028	  1.825
       0:03.031	  1.850
       0:03.033	  1.865
       0:03.036	  1.875
       0:03.039	  1.870
       0:03.042	  1.850
       0:03.044	  1.860
       0:03.047	  1.860
       0:03.050	  1.865
       0:03.053	  1.860
       0:03.056	  1.830
       0:03.058	  1.795
       0:03.061	  1.770
       0:03.064	  1.765
       0:03.067	  1.735
